#{"t_start": 1754198174.1513555, "env_id": "None"}
r,l,t
91.27314,299,109.030425
46.217754,163,109.112133
98.32191,299,109.259263
83.84453,299,110.234531
58.058754,198,110.344023
66.5097,248,110.47223
74.812965,283,110.616851
100.90852,299,110.770902
82.70799,299,110.930138
93.15008,299,111.089874
63.333523,256,112.218808
53.174633,225,113.103899
112.519104,299,113.253495
82.776405,299,113.421758
69.20968,253,113.555444
97.57324,299,113.710135
50.44902,253,113.831555
49.446274,172,113.915943
52.879463,184,114.012034
68.89808,266,115.015986
109.330086,299,115.181772
65.412605,264,115.355546
51.03733,204,115.467286
72.95043,299,115.618922
44.953133,183,115.711017
54.653843,203,115.814169
86.72288,299,115.973112
103.5468,299,117.07425
71.78923,299,117.226339
67.95661,260,117.372419
71.91231,299,117.534402
70.03252,299,117.695111
56.85476,242,117.840236
71.57105,296,118.002595
94.016235,299,119.001467
82.391365,299,119.16344
62.688614,238,119.285402
87.72221,299,119.444087
100.60726,299,119.603719
90.060936,299,119.757039
72.7867,259,119.889896
90.82356,299,120.069057
96.027306,299,121.266013
99.732635,299,121.437342
70.23876,287,121.596159
104.74831,299,121.758112
83.53548,290,123.149638
96.57784,299,123.303702
81.7664,285,124.19716
72.3146,299,124.354737
65.23483,299,124.513315
73.81751,299,124.664123
56.365128,192,124.76174
92.528206,299,124.90914
50.06381,198,125.013306
78.75239,299,125.167199
31.760647,126,125.233019
62.108124,210,126.167355
58.673916,198,126.276085
87.830574,299,126.420052
35.930653,151,126.496763
78.16151,299,126.65648
71.25325,245,126.784477
127.67951,299,126.938664
94.199905,299,127.095327
41.659,176,128.031979
91.44294,299,128.196419
101.85879,299,128.353013
53.947174,223,128.467779
41.925526,183,128.559521
91.918915,299,128.70676
88.64254,299,128.86987
90.38989,299,129.019273
101.60022,299,130.084039
59.476963,194,130.189726
70.31901,299,130.34676
81.30591,299,130.519259
39.191036,187,130.609452
83.40263,299,130.768006
71.41369,299,130.941277
85.73378,299,131.994722
28.42976,121,132.058501
103.94376,299,132.22016
80.273346,299,132.374227
120.10206,299,132.521939
90.5724,299,133.486134
32.14957,127,133.553979
63.29456,216,133.663918
31.672176,122,133.727334
77.79403,299,134.705975
85.11266,299,134.862853
58.822205,208,134.965837
108.67873,299,135.140908
89.00178,299,135.28864
80.52503,299,135.449537
94.75578,299,135.599479
79.4012,288,136.618714
78.097626,299,136.773161
