time/total_timesteps,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/loss,train/value_loss,train/clip_range_vf,train/learning_rate,train/std,train/explained_variance,train/clip_fraction,train/clip_range,eval/mean_reward,eval/mean_ep_length
172032,757,227,42,299.0,224.57989501953125,-4.0337173640728,0.0037272335,0.00024386502627748996,205,-0.014768712222576141,0.0030346080180606804,0.2,0.00017480960000000001,0.9286198019981384,0.998850405216217,0.20078125,0.1,,
176128,757,232,43,299.0,225.40609741210938,-4.03256117105484,0.0037601807,0.0013640475110150874,210,-0.006268553901463747,0.0037888973733060994,0.2,0.00017419520000000002,0.9277340769767761,0.9984920620918274,0.19208984375,0.1,,
180000,,,,,,-4.027546527981758,0.0035047284,0.00021772057662019506,215,-0.012183098122477531,0.002683372855972266,0.2,0.0001735808,0.9258878231048584,0.9987152814865112,0.1796875,0.1,233.77169799804688,299.0
180224,752,239,44,299.0,226.84718322753906,,,,,,,,,,,,,,
184320,752,244,45,299.0,227.9226531982422,-4.016894891858101,0.003916734,0.002407709264662117,220,0.00102508463896811,0.002824688317923574,0.2,0.0001729664,0.9218114018440247,0.9987248778343201,0.187255859375,0.1,,
188416,751,250,46,299.0,227.08535766601562,-4.011182302236557,0.0047575356,0.00023635655670659617,225,-0.009839198552072048,0.004095624801993836,0.2,0.000172352,0.9215390086174011,0.9979302287101746,0.19169921875,0.1,,
192512,751,256,47,299.0,227.38011169433594,-4.006451994180679,0.0031769408,-0.0017874533717986197,230,-0.014236144721508026,0.003892818272288423,0.2,0.0001717376,0.9190630912780762,0.99820876121521,0.160693359375,0.1,,
196608,752,261,48,299.0,227.65821838378906,-3.9963298082351684,0.003911305,3.502554027363658e-05,235,-0.02059050276875496,0.0024311501343618146,0.2,0.0001711232,0.91582852602005,0.9990183115005493,0.19384765625,0.1,,
200000,,,,,,-3.9898053467273713,0.0043965373,-0.0007874589820858092,240,-0.03159670531749725,0.0032531566845136694,0.2,0.00017050880000000002,0.9147002696990967,0.9986087083816528,0.2033203125,0.1,237.68545532226562,299.0
200704,748,268,49,299.0,229.3013458251953,,,,,,,,,,,,,,
204800,747,274,50,299.0,231.51075744628906,-3.9809129014611244,0.004227314,-0.0009995709813665598,245,-0.01901262439787388,0.0026099516871909145,0.2,0.00016989440000000002,0.910484254360199,0.9987871646881104,0.17705078125,0.1,,
