#{"t_start": 1754808863.7766008, "env_id": "None"}
r,l,t
266.59637,299,444.135273
268.9458,299,444.424645
269.6761,299,444.747488
260.28296,299,445.044628
270.9312,299,446.43273
255.16801,299,446.733037
258.36206,299,447.078283
268.3537,299,447.42091
277.2657,299,447.69963
266.75293,299,448.017635
270.2152,299,448.352217
268.12427,299,449.891273
264.97238,299,450.176909
271.4293,299,450.490668
271.53854,299,450.769447
274.76346,299,451.079585
267.71414,299,451.377586
270.19955,299,452.968964
265.30243,299,453.268944
265.37848,299,453.593414
268.59372,299,453.913847
263.5253,299,454.27891
264.0679,299,454.583521
270.18146,299,454.868503
270.81924,299,456.436117
274.6514,299,456.742042
272.50235,299,457.024856
273.72952,299,457.317693
268.98026,299,457.633608
262.15158,299,457.971021
273.7588,299,458.274936
277.4315,299,459.697733
270.7335,299,460.011456
276.48462,299,460.305837
260.83295,299,460.614107
253.52869,299,460.863858
262.91248,299,461.170277
271.13428,299,461.460367
280.41248,299,463.047583
215.3513,299,463.336108
271.1862,299,463.68038
272.1103,299,463.974647
275.4083,299,464.253489
275.98358,299,464.575734
264.21716,299,464.902409
272.871,299,466.27982
270.3478,299,466.610513
275.62433,299,466.921916
269.37296,299,467.23108
268.94485,299,467.513654
268.8375,299,467.790395
261.7535,299,468.062522
277.26505,299,469.502772
274.21198,299,469.807589
272.65173,299,470.108553
275.05234,299,470.411671
271.49933,299,470.721667
273.53342,299,471.061529
272.22775,299,472.567189
180.89331,299,474.318575
274.99136,299,474.624035
221.70364,299,474.903551
272.39145,299,475.175118
270.46082,299,475.495831
269.0552,299,475.804835
273.90018,299,477.193172
272.44916,299,477.484888
272.67325,299,477.780232
274.6284,299,478.088428
267.56076,299,478.385437
276.17392,299,478.688661
277.71576,299,479.010455
270.8798,299,480.524531
270.90732,299,480.83652
276.0956,299,481.1804
272.3769,299,481.475993
272.45566,299,481.764059
272.1542,299,482.061714
264.0695,299,482.341346
274.26776,299,483.826055
268.80728,299,484.122561
275.27243,299,484.426205
273.73056,299,484.732419
277.0647,299,485.092173
270.2901,299,485.372797
275.84314,299,485.659981
278.67447,299,487.131981
268.46854,299,487.437987
272.2902,299,487.755436
271.895,299,488.049526
277.42203,299,488.320132
270.3133,299,488.619174
219.52982,299,488.927304
278.23047,299,490.427874
270.32056,299,490.704536
278.85147,299,491.028573
280.73053,299,491.322227
263.54633,299,491.611158
225.69414,299,491.896384
278.123,299,492.190268
276.25595,299,493.771724
267.1004,299,494.119086
279.39246,299,494.432224
278.44232,299,494.722387
269.68945,299,495.072473
278.3244,299,495.363603
276.9729,299,496.879345
280.07196,299,497.195414
278.462,299,497.499126
274.36008,299,497.81085
274.09555,299,498.116618
278.20844,299,498.432822
280.38705,299,498.762369
277.5117,299,500.152179
279.57248,299,500.4378
279.78458,299,500.738376
283.41568,299,501.044926
277.56332,299,501.330523
276.95697,299,501.609561
248.48204,299,501.961629
274.7557,299,503.517009
274.92285,299,503.815826
268.19397,299,504.150386
279.5061,299,504.443823
280.1832,299,504.756056
283.7875,299,505.066365
273.85965,299,506.799977
220.08553,299,508.171565
275.53238,299,508.457657
283.25873,299,508.766069
261.6868,299,509.080689
277.76532,299,509.36368
274.4163,299,509.63944
197.58032,299,509.933849
268.4232,299,511.431235
280.8956,299,511.719443
260.52466,299,512.029852
